Highlight,Title,Author,URL,Note,Location,Location Type,Date
"I was beginning to learn his body English. His hand tightened on mine and he indicated that he wanted to leave.
I led him to the front porch, where his uneasy stepshalted. He was still holding my hand and he gave no sign of letting me go.
“Will you take me home?”
He almost whispered it, in the voice of a child afraid of the dark.",To Kill a Mockingbird,Harper Lee,,,1,order,2025-10-25 23:41:00
Atticus was right. One time he said you never really know a man until you stand in his shoes and walk around in them. Just standing on the Radley porch was enough.,To Kill a Mockingbird,Harper Lee,,,2,order,2025-10-25 23:39:00
"“An‘ they chased him ’n‘ never could catch him ’cause they didn’t know what he looked like, an‘Atticus, when they finally saw him, why he hadn’t done any of those things… Atticus, he was real nice…”
His hands were under my chin, pulling up the cover, tucking it around me.
“Most people are, Scout, when you finally see them.”",To Kill a Mockingbird,Harper Lee,,,3,order,2025-10-25 23:38:00
"If there’s just one kind of folks, why can’t they get along with each other? If they’re all alike,why do they go out of their way to despise each other?",To Kill a Mockingbird,Harper Lee,,,4,order,2025-10-20 22:05:00
"Naw, Jem, I think there’s just one kind of folks. Folks",To Kill a Mockingbird,Harper Lee,,,5,order,2025-10-20 22:05:00
"“Well how do you know we ain’t Negroes?”
“Uncle Jack Finch says we really don’t know. He says as far as he can trace back the Finches we ain’t, but for all he knows we mighta come straight out of Ethiopia durin‘ the Old Testament.”",To Kill a Mockingbird,Harper Lee,,,6,order,2025-10-19 17:26:00
"folks don’t like to have somebody around knowin‘ more than they do. It aggravates ’em. You’re not gonna change any of them by talkin‘ right, they’ve got to want to learn themselves,and when they don’t want to learn there’s nothing you can do but keep your mouth shut or talk their language",To Kill a Mockingbird,Harper Lee,,,7,order,2025-10-18 11:32:00
